text,polarity
Robin Moore is one of the best crypto market traders and signals provider... I was able to make up my loss with her strategy in the fall and her daily signals are % sustainable. It was very easy compared to other programs I've used in the past.,neutral
maybe. But blow off top is not guaranteed. And if we are currently where you say then we would be on track to diverge immensely from the decade long trend. Totally possible but thats a huge move,neutral
I'm watching $50k-$51k as the next resistance for we can break that range with confirmation then the nd half of the bull market is starting! is a super underrated bitcoinerIve been following her tweets and tips seriously &amp; Ive been doing great,positive
" One of the most exciting things I have learned in is that when we go through a parabolic run upwards, we tend",positive
" If you believe in , dont long Bitcoin. Why risk liquidation? If you believe, you buy. If you want to speculate",negative
Please do it ....,neutral
 NEW - $500 billion German Union Investments to add exposure. One by one,positive
Hurry up there is little left! It is crazy ! Thanks Elon ! $doge,positive
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
 New airdrop ShadowGate Round (NST)Total Reward Million NSTRate Winners Random &amp; Top Distri,neutral
 $100 to person who RT's and follows in hrs,neutral
Hello! You can earn yield on your crypto. I use Celsius and get % on BTC and % on eth. You can't have this conversation without this info.,neutral
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
 new whitelist qualifications are now available. This is still a chance to get a fair . Events end in S,neutral
Hurry up there is little left! It is crazy ! Thanks Elon ! $doge,positive
"extraordinary project issued, very promising for all of us. We hope that this project will continue to progress and develop.",positive
SPECTRA LAUNCHED FEW DAYS AGODoxxed DevsLAUNCHED ON PANCAKESWAPHappy Hour - % BUY TAXfarming and stakingANDROMEDA EXCHANGE LISTING Dont miss this next x1000 Gem!! Twitter  ,positive
DONEFollowReweetLikeTag frWallet0xeC2baf8Bff72533952EEd996E3bD3E3DfB584f34,neutral
Two Legends Collide ! No Holds Barred VS Presented by,neutral
 New  Zeropay Finance Reward Up to ZEROPAY [~$10] + K ZEROPAY [~$10K] referral pool Start the airdrop b,neutral
 Good luck fighting the Bitcoin community.,negative
"As a left leaning voter, I will never vote for you. Banning Bitcoin mining would make America weaker, hurt the poor, and create MORE pollution by off-shoaringto other jurisdictions with less clean energy. Your good intentions would have the exact opposite effect you claim to want",positive
 I mean we did plan for this scenario right?,neutral
 El Salvadorians are already having their identities stolen to get the free bitcoin on their accounts.,negative
 New airdrop ShadowGate Round (NST)Total Reward Million NSTRate Winners Random &amp; Top Distri,neutral
" Attention Bitcoin &amp; Ethereum Holders, Go to to Claim your Free Lovecoin Tokens Airdrop.",neutral
"All this FUD and panic is furthering my bullish resolve. Remember the markets do the opposite of what the masses expect, if plebs bearish..price go up I still think we see k soon and k before April",positive
But I want to get rich now!!,negative
Don't miss an opportunity to yield profits and build your portfolio Join my telegram channel for free signal on binance future trades,neutral
Starbucks And McDonald's Now Accept Bitcoin In El SalvadorRelated Tickers $MCD $SBUXRead more at,positive
Bitcoin Steadies After Flash Crash,neutral
" I randomly host giveaways for my followers. The prizes range from $20 to $1000 paid in Bitcoin, Ethereum or Digital Gift Ca",neutral
" Threatening violence against me for showing uncut, live footage at the Bitcoin protests.",negative
Apocalypto,neutral
"Watch ""SEC v Coinbase Security | McDonalds Serves Bitcoin"" on YouTube -",positive
" Just walked into a McDonald's in San Salvador to see if I could pay for my breakfast with bitcoin, tbh fully expecting to be",positive
 Standard Chartered's crypto research team has made a couple of very bullish predictions about BTC and ETH.,positive
 An awesome thread covering the first day with Bitcoin as legal tender in El Salvador.,positive
 Congratulations Bitcoin,positive
"hope this project is a success, sir, and then it becomes one of best cryptos, I am enthusiastic about participating in this and also supporting it,",positive
 New airdrop Freemoon Faucet (FREE)Total Reward FREE &amp; FSN &amp; a NFTRate Distribution with,neutral
I rather hold Bitcoin which has consistently been up around % each year than paper money which looses - % purchasing power each year,positive
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
So Starbucks and McDonalds are accepting bitcoin as payment now?,positive
" El Salvador's largest department store is now accepting .Founded in , it's ushering in the future of mon",positive
And dogecoin hitting $1.35 just about the same time. Etheruem should be at $10k also.,positive
"Bitcoingives humanity the freedom to take their savings where they please without let or hindrance. A massive breakthrough for not just financial privacy but for human rightsFollowing tweets, prediction and tips I have really learnt a lot about how Bitcoin works",positive
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
There is nothing wrong with a paid group/course as long as expectations are realistic. Relying just on their trading as a source of income is not wise just liking your investment isn't the only thing making you money.,negative
"This September, all the markets will come to us. You will need Where you can pledge all kinds of assets to fund other activities without having to sell your NFT at a surprise price. nd project FCA Licensed from UK after .",neutral
Thumbs up to the team for displaying their professionalism on this GREAT PROJECT. I am certain about the success of this project.Hope it will go to Moon,neutral
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
SPECTRA LAUNCHED FEW DAYS AGODoxxed DevsLAUNCHED ON PANCAKESWAPHappy Hour - % BUY TAXfarming and stakingANDROMEDA EXCHANGE LISTING Dont miss this next x1000 Gem!! Twitter  ,neutral
" Futures funding rate is down, along with volume. The ""flash crash"" hurt some feelings...",negative
" (39,355,968 USD) transferred from to unknown wallet",neutral
 New  Zeropay Finance Reward Up to ZEROPAY [~$10] + K ZEROPAY [~$10K] referral pool Start the airdrop b,neutral
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
 How Joe Burrow's improved velocity could have Bengals thinking playoffs,neutral
 Pizza Hut is now accepting in El Salvador,positive
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
" A report published by Standard Chartered says the banks analysts value Ethereum at $26,000-$35,000 but noted that Bitcoin w",positive
How to Transfer Bitcoin to PayPal Instantly | Sell Bitcoin for PayPal via,negative
" The $LTO token is now available for trading on , one of Europe's leading exchanges!",neutral
"Just gonna leave it here don't miss this audit done Safe Anti-Rug project - Trusted Doxxed DEVS. Leading Probit Exchange Listing already in placePartnership Disney Royalty, Animator TONY BANCROFT",neutral
Just what the Dr Ordered,positive
" If surpasses $100,000 this year, I will delete my account.",negative
Would love to see the pic of that transaction,neutral
 We are excited to see the new Bitcoin Libre wallet from BPs Quantumblok and SoftAtom showing off $XBTC with payments faster,positive
 New airdrop Freemoon Faucet (FREE)Total Reward FREE &amp; FSN &amp; a NFTRate Distribution with,neutral
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
" K TOMORROW, OR I DELETE MY TWITTER! (THIS TIME FOR SURE)",positive
" I randomly host giveaways for my followers. The prizes range from $20 to $1000 paid in Bitcoin, Ethereum or Digital Gift Ca",neutral
"Of course you don't care about art, it takes some culture to grasp it.",neutral
" Hello, New Drop item /50 List (0.005-0.007 ETH)Crypto in the form of character. Each character has one piece!",neutral
 Im in San Salvador on day. Starting this thread to keep you posted.My feeling as of this moment we are witnessin,positive
"hope this project is a success, sir, and then it becomes one of best cryptos, I am enthusiastic about participating in this and also supporting it,",neutral
" I randomly host giveaways for my followers. The prizes range from $20 to $1000 paid in Bitcoin, Ethereum or Digital Gift Ca",neutral
" People in San Salvador, El Salvador protest the new law.El Salvador became the first country to adopt the c",negative
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
 An intensified bullish sentiment might not be the only factor in Bitcoins price plunge yesterday. Data also suggests a,negative
" El Salvador's largest department store is now accepting .Founded in , it's ushering in the future of mon",positive
This project will go much further in the future because the team working on it is very strong. We will be happy to see the achievements and results of this excellent project. to the moon,positive
 We are excited to announce that Crypto To Crypto trading starting with Bitcoin is now going live on Coinsbit IndiaIt,positive
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
Hurry up there is little left! It is crazy ! Thanks Elon ! $doge,positive
"Grateful to host of ""Real Talk China"" for this beautiful interview about China's . CBDCs are coming. Learn.",neutral
 Bitcoin Day in El Salvador got off to a bumpy start as technology glitches hit the countrys rollout of the volatile cryptocurre,negative
"Funny how the most troll opinions are when the market is dipping. I don't know any traditional market that recovered like Bitcoin/Ethereum did, or show so much promise like $SOL, $FTM and many more.You'll have yourself to blame",positive
" isnt your new investment asset, its actually your new magic money, that will buy anything and everything, cheaper",neutral
 Bitcoin tf15,neutral
 new whitelist qualifications are now available. This is still a chance to get a fair . Events end in S,neutral
" El Salvador's largest department store is now accepting .Founded in , it's ushering in the future of mone",positive
The Worlds Most Expensive Pizza What Is Worth?,negative
" LIVE threatens to sue over its lending product, stabilizes around $46,000 after a sell-off and",negative
 Travel and Bitcoin A Solid Match?$BTC,positive
 out of countries are holding We're so early.,positive
"very happy to participate in this extraordinary project, hopefully it can become an asset with a more fantastic value that is launched $FMN",positive
 New airdrop Envoy Network (ENVOY)Total Reward ENVOYRate Winners Random &amp; Top Distribut,neutral
I kinda want to try this...,neutral
 El Salvador had Bitcoin before having to pull its crypto services offline due to technical issuesworld gets the new,negative
 THE WORLD BANK REITERATES THAT IT CANNOT SUPPORT EL SALVADOR WITH BITCOIN DUE TO ENVIRONMENTAL AND TRANSPARENCY ISSUES.,negative
 Standard Chartered's crypto research team has made a couple of very bullish predictions about BTC and ETH.,positive
"I have a very serious video dropping later today, many in crypto wont like it but its facts! The crypto scam and how we move to the real Web $ICP $ETH",negative
 Long Term investors HODL m - a new All-Time high.,positive
 Last day to purchase Binance's most valuable first nft Limited edition and a very good investment fo,positive
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
 North America leads the ATM charge -,negative
" The SEC is bitch and will go after all the bad crypto actors. Good job, Gary!",positive
 New airdrop Freemoon Faucet (FREE)Total Reward FREE &amp; FSN &amp; a NFTRate Distribution with,neutral
" I randomly host giveaways for my followers. The prizes range from $20 to $1000 paid in Bitcoin, Ethereum or Digital Gift Ca",neutral
revealed Tuesday that it received a Wells notice from the SEC last Wednesday about its planned Lend program. A Wells notice is the official way a regulator tells a company it intends to sue the company in court.,neutral
CHANCE TO BOOST YOUR WALLET!!! &gt;,neutral
 Amazing! $SFM + $BTC Giveaway /10/21Must complete these tasks1. Like and Retweet this post!,neutral
I wish I could manipulate Bitcoin,positive
SEE THE INFOO!!!,neutral
"Wow, this analyst had foresaw that bitcoin value fell from $64K to $33K on April and it came true!CHECK $ast $amp $xprt $mdx $uft $sand $hbar $comp $moov $luna $xrp $ar $nexo $atom $wing $df $fil $algo $vidt $aave $coti $trb $dg",negative
" Since the bottom of k in mi july, rallied %.So its very normal to have a pull back after such an increase!",negative
 New airdrop ShadowGate Round (NST)Total Reward Million NSTRate Winners Random &amp; Top Distri,neutral
Game theory.,neutral
SPECTRA LAUNCHED FEW DAYS AGODoxxed DevsLAUNCHED ON PANCAKESWAPHappy Hour - % BUY TAXfarming and stakingANDROMEDA EXCHANGE LISTING Dont miss this next x1000 Gem!! Twitter  ,neutral
 $100 to person who RT's and follows in hrs,neutral
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
Join our whitelist for ! Join with me here () for a chance to get a whitelist spot at a very RARE NFT!,neutral
Bitcoin Cash Price Prediction Is the Bull Run Over?,negative
 New airdrop Envoy Network (ENVOY)Total Reward ENVOYRate Winners Random &amp; Top Distribut,neutral
" Cross-Chain Deposit/Withdrawal Tether on the XBTS Dex are available for Chain BEP2, HECOChain,",neutral
 New airdrop Duel Network (DUEL)Total Reward DUELRate Distribution nd SeptemberBot Airdrop Lin,neutral
" Hey Siri, whats the currency in El Salvador? &amp; United States Dollar",negative
"US SEC Threatens to Sue Crypto Exchange Coinbase, CEO Brian Armstrong Responds Regulation BitcoinNews",negative
" Attention Twitter!New S19j T October batch w/ -year of PAID hosting giveaway promo! ~$12,000 value. All yo",neutral
" If you think people hate you now for being unvaxxed, just wait until you are unvaxxed and is at k",neutral
 Okay we know you are still the big boy in town. Now behave &amp; ease up a bit.$btc $ftm,negative
Uh-oh! Prepare for another flash crash,negative
" Giving away a signed, 'A Better Future' Artist Proof print! Collector's editions of this artwork are sold out",neutral
This should be a fun conversation with on Friday!,neutral
If only a public ledger,neutral
" It's funny to me, guys are defending a middleman that wants to take peoples' keys from them.",neutral
 New airdrop Freemoon Faucet (FREE)Total Reward FREE &amp; FSN &amp; a NFTRate Distribution with,neutral
 Today a mandatory legal acceptance of Bitcoin mandatory comes into force in El Salvador. The BTC community is celebrat,positive
" Im teaming up with to give person $100,000 in Bitcoin! Heres how to enter . Reply to this tweet using the h",positive
" I randomly host giveaways for my followers. The prizes range from $20 to $1000 paid in Bitcoin, Ethereum or Digital Gift Ca",neutral
 out of countries are holding We're so early.,positive
SEE THE INFOO!!!,positive
" NEW format for SEASON w/ The Legends of London!!! WIN airdrops, Swag or",neutral
" NEW format for SEASON w/ The Legends of London!!! WIN airdrops, Swag or",neutral
"No need, Big Tech will censor us all",negative
 KENOSWAP Airdrop live now JOIN Rewards $30 worth Token Refer friend $1 worth Token Bot link,neutral
" By manipulating money to ensure prices continually rise, the current monetary system is creating modern day slavery for vast",negative
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
Says the guy that took all the liquidity from the market making the sheep buy $30,negative
 BitTaxi Airdrop Task Up to BTTXT (~$50) Referral BTTXT (~$5) Airdrop Link &amp; In,neutral
"Bitcoin spammers are a pest on social medias. Bitcoin is a Ponzi scheme, the worst speculative bubble, a pest worse than covid. The bitcoin is a financial bubble. Central banks will outlaw it soon. Bitcoin is very popular because it allows to hide the worst crimes.",negative
 Dormant Supply Metric Mirrors Run-Up to $20K BTC Price - % of the Bitcoin supply has stayed in the same,positive
"For all those who are new to this working from home Bitcoin trading options Here's a little tipGet a trusted Bitcoin expert and stick to him and play at similar times each day.Because In times of chaos, your investment is your anchor to success",neutral
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
" Philanthropy FinanceRewards in BTCB (Bitcoin)Doxxed team CERTIK onboardingRoadMap -Dex, DeFI, NFT, Game",neutral
Transaction received - SHIB. Thank you We are with you SHIBA COIN,neutral
"Did you miss this video anon? That's ok, you can catch it below. Make sure you don't miss it!!!For more info on how to join us, visit",neutral
"Leicester, /1 and my last word would be the action where you tap your nose and glance over the rim of your glasses with a smile",neutral
"I have under Bitcoin, do I make the cut?",neutral
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
" I randomly host giveaways for my followers. The prizes range from $20 to $1000 paid in Bitcoin, Ethereum or Digital Gift Ca",neutral
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
" Futures funding rate is down, along with volume. The ""flash crash"" hurt some feelings...",negative
" With correcting over % in the last H, we ask ourselves (and now you) - will the Fib support at $44K hold or not?",negative
" You can lead a horse to , but you can't make him appreciate the complete revolution in freedom and money that i",positive
". honestly there's zero f*ing point publishing on your platform. Every time I publish a script for the benefit of the community it gets banned. What's the problem here? Script is open source, it's beneficial and it works. Tell me we should bother using your platform?",neutral
 New airdrop Freemoon Faucet (FREE)Total Reward FREE &amp; FSN &amp; a NFTRate Distribution with,neutral
I mean they just did in a whole county but sure,positive
 US authorities standing in way of innovation. $100 trillion of negative real yields on global bonds drives investors into hi,negative
Hi was yesterday $,negative
"Bitcoin Dips $ Due to Stronger US Dollar, Gold ShowsCorrelation",negative
"Bitcoin Dips $ Due to Stronger US Dollar, Gold ShowsCorrelation",negative
This project will go much further in the future because the team working on it is very strong. We will be happy to see the achievements and results of this excellent project. to the moon,positive
 The law of attraction - the golden bull run - the perfect storm. K is months away! RT,positive
In Bitcoin will never be taken seriously by any government In a nation state is buying the bitcoin dip,negative
 Our FREE wrapped TESLA Giveaway is LIVERetweet &amp; Follow Enter to Win at,neutral
 $SFM Giveaway /09/21Must complete these tasks1. Like and Retweet this post!2. Follow . Comment,neutral
XRP Fast Cheap Energy efficientBitcoin Slow Expensive Insanely inefficientThis can only end one way. $XRP,negative
El Salvador adopting Bitcoin despite World Bank and IMF Warnings //,negative
 The best way to have the ultimate and for ever income in BITCOIN is buying a bitcoin asic miner!and whats the best bitcoin a,positive
"How can bitcoins (or gold, same concept) perform the function of money in the modern economy when history and economic science have shown us the negative consequences of a gold standard?",negative
" El Salvador is now a country where you could live without a bank account, just using . Hopefully other co",positive
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
" still going to k, just in case you needed a reminder",neutral
" I randomly host giveaways for my followers. The prizes range from $20 to $1000 paid in Bitcoin, Ethereum or Digital Gift Ca",neutral
SPECTRA LAUNCHED FEW DAYS AGODoxxed DevsLAUNCHED ON PANCAKESWAPHappy Hour - % BUY TAXfarming and stakingANDROMEDA EXCHANGE LISTING Dont miss this next x1000 Gem!! Twitter  ,neutral
" Assuming Musk, Bezos or some other asshole actually does get to space in our lifetime, it's going to end up exactly as hila",neutral
South American dollar exchange bitcoin..this very nice..,positive
" Cross-Chain Deposit/Withdrawal Tether on the XBTS Dex are available for Chain BEP2, HECOChain,",neutral
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
" still going to k, just in case you needed a reminder",positive
Airdrop Inspector airdrop Moonvibes (VIBES),neutral
Considering its all code this is an impossible stance.,negative
Bitcoin Fear and Greed Index is - Neutral,neutral
 Stop monopoly and list don't play games with people's emotions the name of a so called problem,negative
"I havent posted on a week or so because my views havent changed. My recent posts on a brief shorts in key sectors, then resuming long stock positions on semiconductors and mega caps, staying away from gold and silver and being cautious on Bitcoin have all proven themselves.",negative
"Currently Im watching HYG struggle, the dollar strengthening, and a broad buy the dip mentality that has been deeply ingrained on in people.",negative
 will only become more and more mainstream with time.We can't wait for the day you can buy,positive
"El Salvador's president said it best, ""buy the dip!""And that was manipulation NOT El Salvador's botched roll out.",negative
 Travel and Bitcoin A Solid Match?$BTC,positive
" El Salvador's largest department store is now accepting .Founded in , it's ushering in the future of mon",positive
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
you said CYCLICAL PEAK You dont say.Is this coin traveling on a Nintendo while listening to Twenty One Pilots - Stressed Out on a tricycle for adults?,neutral
THE BIGGEST SPORT TOKEN LAUNCH OF x Supported by WWE World Heavyweight Champions KURT ANGLE and THE GREAT KHALIAudit  Dessertswap Dev Doxxed on Audit with ID Liquidity will be Locked For Year,neutral
 Amazing! $SFM + $BTC Giveaway /10/21Must complete these tasks1. Like and Retweet this post!,neutral
Mfs in El Salvador after being charged $20 in transaction fees for buying a pack of chewing gum,negative
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
" If youre smart, youre buying Bitcoin at discounts.",positive
Buy the dip!,positive
" If you arent willing to own for years, dont even think about owning it for minutes.",positive
 Infinity Tribe Airdrop Task Up to INTRI (~$16) Referral INTRI (~$4) BUSD,neutral
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
" $57.9 million worth of $Nano moved with zero fees, in less than second, with less power usage than uses in",negative
 Yeah but were not on your grid were off consuming waste that would otherwise impact air quality.,negative
"More countries to follow El Salvadors Bitcoin move, Cardano creator says - Cointelegraph via BTCnews for iOS",positive
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
 Shordcoin Airdrop Task Up to SHORD (~$50) Referral SHORD (~$5) Airdrop Link &amp; Inf,neutral
Buy rumors and sell news -,negative
Hurry up there is little left! It is crazy ! Thanks Elon ! $doge,positive
Metamask and other wallets supports Polygon (MATIC) Giveaway! Participate,neutral
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
back to levels not seen since last week.,positive
" BREAKING Ukraine has legalized Bitcoin and crypto.You can now buy, sell and hold and crypto.Source",positive
 in El Salvador is a precursor of things to come monetary chaos and disaster. The government's wallet had technic,negative
" I randomly host giveaways for my followers. The prizes range from $20 to $1000 paid in Bitcoin, Ethereum or Digital Gift Ca",neutral
Excellent news | thank you for the news,positive
" If surpasses $100,000 this year, I will delete my account.",negative
"Remember how el salvador bought it, You should hv a bigger country, Gordon",positive
" still going to k, just in case you needed a reminder",positive
"Wow, this trader had made a forecast that bitcoin value dropped from $64K to $33K on April and it came true!CHECK $doge $df $ada $elf $twt $dg $sbr $axs $aave $ltx $uft $grt $wing $tlos $hot $busd $bond $swrv $coti $esbc $comp $hive $dext",negative
 New airdrop Moonvibes (VIBES)Total Reward VIBESRate Winners Random &amp; Top Distribution,neutral
"When Bitcoin goes to , what would you think LTC will go to?",positive
 KENOSWAP Airdrop live now JOIN Rewards $30 worth Token Refer friend $1 worth Token Bot link,neutral
 New airdrop Freemoon Faucet (FREE)Total Reward FREE &amp; FSN &amp; a NFTRate Distribution with,neutral
 This is to all the critics who said would never be used to buy coffee. Just payed for mine at Starbucks in,positive
Follow my YT channel for more alerts! $SLV $PSLV,neutral
"If you read the article Chris, you would see that they are also saying it will be $100,000 by the end of as wellPlan B's stock to flow analysis says we are still on track as well $ARBKF $MODGF",positive
 Congratulations Bitcoin,positive
 It has been a little more than a year since started to put the idea of hodling as a treasury asset,positive
And now up $vidt,neutral
El salvador in shambles amidst bitcoin acceptance,negative
SELL Bitcoin NOW.,negative
Bullish on bitcoin rn!,positive
Bitcoin has literally no fundamentals. An absolute ponzi scheme of the highest order. Get out while you can,negative
"Buy bitcoin NOW, before it moons!",positive
